hello, cześć
goodbye, do widzenia
thank you, dziękuję
please, proszę
yes, tak
no, nie
sorry, przepraszam
excuse me, przepraszam
I'm sorry, przepraszam
how are you, jak się masz
what's your name, jak masz na imię
my name is, mam na imię
I don't understand, nie rozumiem
I don't know, nie wiem
help, pomocy
maybe, może
okay, w porządku
good, dobrze
bad, źle
big, duży
small, mały
hot, gorący
cold, zimny
happy, szczęśliwy
sad, smutny
angry, zły
tired, zmęczony
hungry, głodny
thirsty, spragniony
beautiful, piękny
ugly, brzydki
fast, szybki
slow, wolny
expensive, drogi
cheap, tani
old, stary
new, nowy
young, młody
old, stary
short, krótki
long, długi
far, daleko
near, blisko
open, otwarty
closed, zamknięty
good, dobry
bad, zły
right, prawo
left, lewo
